Date,MaxTemp_Astore,MaxTemp_Bunji,MaxTemp_Chilas,MaxTemp_Chitral,MaxTemp_Darosh,MaxTemp_Dir,MaxTemp_Gilgit,MaxTemp_Gupis,MaxTemp_Quetta,MaxTemp_Skardu,MaxTemp_Zhob,MaxTemp_Balakot,MaxTemp_Ghari Dupatta,MaxTemp_Cherat,MaxTemp_Islamabad,MaxTemp_Kakul,MaxTemp_Kotli,MaxTemp_Murree,MaxTemp_Muzaffarabad,MaxTemp_Parachinar,MaxTemp_Saidu Sharif,MaxTemp_Panjgur,MaxTemp_Dalbandin,MaxTemp_Kalat,MaxTemp_Khuzdar,MaxTemp_Nokkundi,MaxTemp_Sibbi,MaxTemp_Barkhan,MaxTemp_Badin,MaxTemp_Chhor,MaxTemp_Hyderabad,MaxTemp_Jaccobabad,MaxTemp_Jiwani,MaxTemp_Karachi,MaxTemp_Mohin Jodaro,MaxTemp_Nawabshah,MaxTemp_Ormara,MaxTemp_Padidan,MaxTemp_Passni,MaxTemp_Rohri,MaxTemp_Bahawalnagar,MaxTemp_Bahawalpur,MaxTemp_D.I Khan,MaxTemp_Faisalabad,MaxTemp_Jhelum,MaxTemp_Khanpur,MaxTemp_Kohat,MaxTemp_Lahore,MaxTemp_Lasbella,MaxTemp_Mianwali,MaxTemp_Multan,MaxTemp_Peshawar,MaxTemp_Risalpur,MaxTemp_Sargodha,MaxTemp_Sialkot,MaxTemp_AVERAGE,MinTemp_Astore,MinTemp_Bunji,MinTemp_Chilas,MinTemp_Chitral,MinTemp_Darosh,MinTemp_Dir,MinTemp_Gilgit,MinTemp_Gupis,MinTemp_Quetta,MinTemp_Skardu,MinTemp_Zhob,MinTemp_Balakot,MinTemp_Ghari Dupatta,MinTemp_Cherat,MinTemp_Islamabad,MinTemp_Kakul,MinTemp_Kotli,MinTemp_Murree,MinTemp_Muzaffarabad,MinTemp_Parachinar,MinTemp_Saidu Sharif,MinTemp_Panjgur,MinTemp_Dalbandin,MinTemp_Kalat,MinTemp_Khuzdar,MinTemp_Nokkundi,MinTemp_Sibbi,MinTemp_Barkhan,MinTemp_Badin,MinTemp_Chhor,MinTemp_Hyderabad,MinTemp_Jaccobabad,MinTemp_Jiwani,MinTemp_Karachi,MinTemp_Mohin Jodaro,MinTemp_Nawabshah,MinTemp_Ormara,MinTemp_Padidan,MinTemp_Passni,MinTemp_Rohri,MinTemp_Bahawalnagar,MinTemp_Bahawalpur,MinTemp_D.I Khan,MinTemp_Faisalabad,MinTemp_Jhelum,MinTemp_Khanpur,MinTemp_Kohat,MinTemp_Lahore,MinTemp_Lasbella,MinTemp_Mianwali,MinTemp_Multan,MinTemp_Peshawar,MinTemp_Risalpur,MinTemp_Sargodha,MinTemp_Sialkot,MinTemp_AVERAGE,Precip_Astore,Precip_Bunji,Precip_Chilas,Precip_Chitral,Precip_Darosh,Precip_Dir,Precip_Gilgit,Precip_Gupis,Precip_Quetta,Precip_Skardu,Precip_Zhob,Precip_Balakot,Precip_Ghari Dupatta,Precip_Cherat,Precip_Islamabad,Precip_Kakul,Precip_Kotli,Precip_Murree,Precip_Muzaffarabad,Precip_Parachinar,Precip_Saidu Sharif,Precip_Panjgur,Precip_Dalbandin,Precip_Kalat,Precip_Khuzdar,Precip_Nokkundi,Precip_Sibbi,Precip_Barkhan,Precip_Badin,Precip_Chhor,Precip_Hyderabad,Precip_Jaccobabad,Precip_Jiwani,Precip_Karachi,Precip_Mohin Jodaro,Precip_Nawabshah,Precip_Ormara,Precip_Padidan,Precip_Passni,Precip_Rohri,Precip_Bahawalnagar,Precip_Bahawalpur,Precip_D.I Khan,Precip_Faisalabad,Precip_Jhelum,Precip_Khanpur,Precip_Kohat,Precip_Lahore,Precip_Lasbella,Precip_Mianwali,Precip_Multan,Precip_Peshawar,Precip_Risalpur,Precip_Sargodha,National_MaxTemp,National_MinTemp,National_Precip,MaxTemp_Anomaly,MinTemp_Anomaly
1961-12-31,35.0,45.55555556,12.22222222222222,,43.89,12.77777777777778,45.0,40.0,39.4,38.333333333333336,41.66666666666667,36.11,41.11111111111112,39.44444444444444,44.4,37.22222222222222,43.333333333333336,30.55555555555556,41.66666666666667,35.56,18.0,43.9,46.1,36.7,14.0,47.8,48.3,23.0,,43.9,45.56,47.77777777777778,38.888888888888886,42.22222222222222,,46.1,,47.2,46.1,25.6,33.88888889,45.0,45.0,42.22,45.0,45.0,45.0,45.0,,43.88888888888889,46.11111111111112,43.88888888888889,,45.55555555555556,46.11111111111112,44.513888888888886,-13.88888888888889,-2.777777778,-3.333333333333333,,-3.33,-2.2222222222222223,-9.44,-10.0,-10.6,-17.22222222222222,-4.444444444444445,0.0,0.0,-7.222222222222222,-0.6,-1.6666666666666667,2.2222222222222223,-10.555555555555555,0.5555555555555556,-6.67,8.0,0.6,-5.6,-13.3,-1.0,-3.9,1.7,10.0,,-1.1,5.56,3.333333333333333,7.777777777777778,6.111111111111112,,-0.6,,1.1,8.9,7.8,0.5555555555555556,1.11,1.67,1.7,-0.5555555555555556,1.1111111111111112,1.1,,3.385416666666667,0.5555555555555556,0.5555555555555556,,-1.1111111111111112,-2.2222222222222223,1.3357777777777775,,1854.2,115.062,77.978,0.0,585.4,0.0,23.368,112.9,215.1,73.914,239.52707999999998,2727.98,1465.997054765,1323.654,1147.61,1544.918,1757.69551381879,2094.103,810.50631706,1406.92,0.0,109.6,346.60999999999996,306.9,0.0,6.699999999999999,338.2,0.0,0.0,644.0,336.15999999999997,182.08751999999998,144.96542,623.18,0.0,252.24,0.0,249.39999999999998,165.1,0.0,222.54,249.25,936.045,262.512,627.202,622.82,0.0,200.914,74.806,485.754,0.0,254.176,137.424,3972.188,39.611522222333335,-1.1555765306167798,543.1038315859963,-2.1152833920960177,0.2733740667998714
1962-12-31,3.321190042501518,41.66666667,44.44444444444444,,42.22,12.77777777777778,42.78,35.56,38.3,36.11111111111112,40.55555555555556,40.0,42.77777777777778,40.55555555555556,45.0,38.88888888888889,45.0,31.666666666666668,43.88888888888889,35.56,18.0,43.3,45.0,37.2,14.0,45.0,50.6,23.0,,47.2,47.78,23.33181542197936,41.11111111111112,35.27777777777778,,47.8,,48.3,43.9,25.6,38.88888889,47.22222222222222,46.67,46.11,47.2,46.66666666666666,45.0,46.1,,46.66666666666667,47.77777777777778,45.0,,47.22222222222222,46.11111111111112,46.058888888888895,-9.432301153612627,-2.777777778,-2.7777777777777777,,-1.11,-2.2222222222222223,-8.89,-9.44,-14.4,-16.11111111111111,-5.0,-0.56,-2.7777777777777777,-1.1111111111111112,-2.8,-0.5555555555555556,1.1111111111111112,-4.444444444444445,1.1111111111111112,-5.56,8.0,-3.3,-7.8,-12.8,-1.0,-4.4,0.6,10.0,,-0.6,3.89,8.88888888888889,7.222222222222222,5.0,,2.2,,0.0,6.7,7.8,2.7777777777777777,0.56,0.56,-0.6,0.0,1.6666666666666667,-0.6,,1.6666666666666667,0.0,0.0,,-3.333333333333333,0.01,1.1035185185185186,,314.96,122.55499999999999,136.652,0.0,525.18,0.0,139.065,150.79999999999998,230.1,154.432,240.28907999999998,1320.05,1135.949383102,848.1659999999999,1050.85,932.962,1172.37019966626,1382.649,716.244495389,903.51,0.0,68.5,37.8,39.5,0.0,5.4,125.10000000000001,0.0,0.0,212.52,417.41,0.0,98.806,0.0,0.0,95.52,0.0,86.3,180.0,0.0,243.3,281.01,775.43,197.43800000000002,578.972,570.25,0.0,279.4,104.32,267.792,0.0,463.252,789.98,4647.978,39.60339344271184,-1.0925601898363877,408.1992992251344,-2.1234121717175114,0.3363904075802635
1963-12-31,32.22222222222222,42.77777778,45.0,,41.11,12.77777777777778,43.33,38.33,39.4,37.22222222222222,41.66666666666667,37.78,39.44444444444444,39.44444444444444,42.8,36.11111111111112,42.22222222222222,29.444444444444443,41.11111111111112,35.56,18.0,45.0,46.1,36.1,14.0,48.3,52.8,23.0,,45.6,46.67,49.44444444444444,23.33029751062538,40.55555555555556,,48.3,,48.3,38.3,25.6,45.55555556,45.55555555555556,45.56,44.44,45.6,46.66666666666666,44.44444444444444,44.4,,46.11111111111112,47.22222222222222,44.44444444444444,,45.0,44.44444444444444,44.29916666666667,-13.88888888888889,-3.333333333,-3.333333333333333,,-1.11,-2.2222222222222223,-8.33,-8.89,-10.0,-16.11111111111111,-3.888888888888889,-2.22,1.1217364905889498,-0.5555555555555556,-1.1,0.5555555555555556,0.5555555555555556,-2.7777777777777777,0.0,-3.89,8.0,-1.7,-5.0,-8.3,-1.0,-2.8,1.1,10.0,,0.0,6.11,3.888888888888889,13.894960534304795,7.222222222222222,,2.2,,2.8,11.1,7.8,2.7777777777777777,-0.56,1.67,1.7,1.1111111111111112,2.7777777777777777,0.0,,0.0,1.1111111111111112,1.1111111111111112,,-1.1111111111111112,2.2222222222222223,1.7814444444444444,,348.488,86.614,133.858,0.0,664.4000000000001,0.0,87.503,118.0,151.29999999999998,126.492,389.001,1398.0,1193.873966434,1225.58,969.02,451.438,922.6553185346,1467.231,784.3792485,1124.44,0.0,90.8,75.6,60.9,0.0,39.2,7.6,0.0,0.0,80.9,102.47,19.16684,0.0,44.59,0.0,22.139999999999997,0.0,16.2,32.4,0.0,152.38,266.335,588.91,97.586,500.59,285.32,0.0,352.806,101.262,380.12,0.0,220.518,667.786,3708.888,40.01796706145695,-0.19409688610647688,362.16187728645554,-1.7088385529724022,1.2348537113101743
1964-12-31,33.333333333333336,43.33333333,46.11111111111111,,43.33,12.77777777777778,42.78,38.33,40.0,37.22222222222222,41.66666666666667,40.56,42.77777777777778,41.11111111111112,44.4,40.0,43.888888888888886,32.22222222222222,45.0,41.67,18.0,43.9,47.8,36.1,14.0,48.3,50.0,23.0,,44.7,22.78,46.66666666666667,22.22222222222222,42.77777777777778,,47.2,,47.2,42.8,25.6,45.55555556,46.11111111111112,47.22,46.67,45.6,46.66666666666666,46.11111111111112,45.6,,47.77777777777778,45.55555555555556,46.11111111111112,,47.77777777777778,45.55555555555556,45.42811965846154,-13.88888888888889,-2.777777778,-3.333333333333333,,-5.56,-2.2222222222222223,-8.89,-10.0,-16.67,-17.77777777777778,-8.333333333333334,0.642651162790699,-4.444444444444445,3.333333333333333,-2.8,-4.444444444444445,-0.5555555555555556,-8.333333333333334,-1.6666666666666667,-11.67,8.0,-5.0,-8.3,-10.0,-1.0,-8.3,-1.7,10.0,,-1.7,10.56907356948229,1.1111111111111112,11.672738312082576,3.888888888888889,,-1.1,,-2.2,5.6,7.8,-0.5555555555555556,-2.22,-0.56,0.0,-1.1111111111111112,-2.2222222222222223,-0.6,,-1.6666666666666667,-1.6666666666666667,-3.333333333333333,,-2.2222222222222223,-1.1111111111111112,-0.5076923077179487,,377.444,127.25399999999999,180.34,0.0,700.25,0.0,158.369,110.4,179.4,237.49,262.382,1289.85,1333.366548783,409.842,709.6,1224.35,1042.3521415889,1756.537,840.44870373,1350.5,0.0,126.3,96.0,63.5,0.0,114.9,157.65,0.0,0.0,326.11,0.0,48.93056,0.0,137.6,0.0,264.04,0.0,176.5,28.799999999999997,0.0,269.24,380.6,920.87,123.72800000000001,365.034,801.04,0.0,486.918,174.57399999999998,346.348,0.0,311.644,922.14,5285.084,40.42602905985812,-2.404623726467713,448.4764065574426,-1.300776554571236,-0.9756731290510618
1965-12-31,33.333333333333336,12.210078929174864,46.11111111111111,,42.78,12.77777777777778,43.89,38.89,37.78,38.88888888888889,40.0,38.89,40.0,34.44444444444444,42.2,38.333333333333336,42.22222222222222,30.0,42.22222222222222,36.11,18.0,44.4,46.7,36.1,14.0,46.7,51.7,23.0,,43.3,45.56,47.77777777777778,42.22222222222222,41.11111111111111,,47.2,,42.8,40.6,25.6,44.44444444,47.77777777777778,45.56,43.89,46.1,44.44444444444444,45.0,44.4,,46.11111111111112,45.0,45.0,,45.55555555555556,41.66666666666667,43.9343434340404,-14.444444444444445,0.0060716454153006,-2.2222222222222223,,-5.56,-2.2222222222222223,-8.89,-6.67,-8.33,-12.222222222222223,-4.444444444444445,-1.11,-2.2222222222222223,0.0,-2.2,-1.6666666666666667,0.5555555555555556,-4.444444444444445,0.5555555555555556,-10.56,8.0,-2.2,-5.0,-9.4,-1.0,-2.2,-0.6,10.0,,-2.8,5.56,2.7777777777777777,7.777777777777778,5.555555555555555,,0.6,,-1.1,7.8,7.8,0.5555555555555556,1.67,2.91875,0.0,-1.6666666666666667,2.2222222222222223,-1.7,,1.6666666666666667,1.892361111111112,-0.5555555555555556,,-1.1111111111111112,5.016913869372886,1.1619999999555557,,567.6899999999999,0.0,154.94,0.0,909.42,0.0,268.85900000000004,110.2,231.44,81.53399999999999,287.401,1415.06,1489.033369125,577.402,852.03,1247.6979999999999,966.1494953496,1944.497,796.53036914,1954.28,0.0,98.8,176.9,30.5,0.0,51.0,85.4,0.0,0.0,143.2,86.62,16.972279999999998,135.93,130.34,0.0,53.67,0.0,76.3,51.1,0.0,153.19,259.55,609.0,133.45,644.892,441.17,0.0,383.804,546.2,506.412,0.0,395.026,305.054,4367.488,39.53477733606431,-0.8663154883612387,439.55800951138156,-2.1920282783650435,0.5626351090554125
1966-12-31,33.333333333333336,42.77777778,45.0,,43.33,12.77777777777778,42.78,37.78,40.0,36.66666666666667,41.66666666666667,38.89,40.55555555555556,40.55555555555556,41.7,36.66666666666667,41.66666666666666,30.0,42.22222222222222,36.67,18.0,44.4,47.2,35.6,14.0,47.8,49.4,23.0,,46.1,47.78,47.77777777777778,24.99394489857705,43.33333333333333,,49.4,,48.3,42.2,25.6,46.11111111,48.333333333333336,45.0,43.89,45.6,47.22222222222222,45.0,45.0,,46.66666666666667,45.55555555555556,45.0,,45.0,42.22222222222222,44.30564814851852,-11.666666666666668,-1.111111111,-2.2222222222222223,,-1.11,-2.2222222222222223,-7.78,-7.22,-14.44,-10.555555555555555,-5.555555555555555,-1.11,0.0,1.6666666666666667,-2.2,-1.1111111111111112,0.5555555555555556,-3.333333333333333,-0.5555555555555556,-5.0,8.0,-3.9,-8.9,-12.8,-1.0,-4.4,0.6,10.0,,0.0,6.11,1.6666666666666663,13.60581289736603,6.111111111111112,,-2.8,,1.1,8.9,7.8,1.6666666666666667,0.0,0.0,0.0,-0.5555555555555556,2.2222222222222223,0.0,,0.5555555555555556,-0.5555555555555556,-0.5555555555555556,,-1.1111111111111112,-0.5555555555555556,1.067037037037037,,414.274,278.003,214.376,0.0,679.6800000000001,0.0,228.6,202.1,159.31,221.488,304.5587,869.49,1322.85910244,510.61,953.24,1764.06,1125.29151886632,1612.392,1037.87303916,727.86,0.0,44.199999999999996,77.1,69.8,0.0,27.9,73.8,0.0,0.0,79.4,81.53,22.45614,0.0,57.7,0.0,65.81,0.0,76.7,2.3,0.0,241.54,247.2,1839.3899999999999,39.928,460.742,536.72,0.0,240.53799999999998,174.952,364.202,0.0,298.979,498.094,5028.286,40.29661408318636,-0.8714157609736336,431.02467593456157,-1.4301915312429898,0.5575348364430176
1967-12-31,32.22222222222222,43.88888889,45.0,,41.11,12.77777777777778,43.33,39.44,40.0,38.88888888888889,40.55555555555556,31.67,41.11111111111112,39.44444444444444,43.9,33.88888888888889,42.77777777777778,30.55555555555556,43.333333333333336,36.11,18.0,45.0,47.2,36.7,14.0,47.8,49.4,23.0,,44.4,45.0,49.44444444444444,24.44141689373297,43.33333333333333,,48.9,,48.9,42.8,25.6,45.55555556,46.66666666666667,46.67,46.11,46.1,47.77777777777778,45.0,45.0,,47.22222222222222,47.22222222222222,45.0,,46.11111111111112,46.11111111111112,43.54170940170941,-8.333333333333334,-2.777777778,-4.444444444444445,,-3.33,-2.2222222222222223,-7.78,-7.78,-15.0,-11.666666666666668,-8.88888888888889,-1.11,-1.1111111111111112,1.1111111111111112,0.0,-1.1111111111111112,1.1111111111111112,-5.0,0.0,-7.22,8.0,-6.7,-9.4,-16.1,-1.0,-6.1,-3.3,10.0,,-2.8,4.44,0.5555555555555556,11.671964880411748,2.7777777777777777,,-2.2,,-2.8,4.4,7.8,-1.6666666666666667,-1.11,-1.67,-0.6,-3.333333333333333,0.5555555555555556,-1.1,,-0.5555555555555556,-3.888888888888889,-0.5555555555555556,,-3.333333333333333,-13.333333333333334,-0.8370370370555555,,-1511.808,198.501,213.868,0.0,777.57,0.0,190.373,244.9,264.83,264.668,344.29954,21.21,1334.34861017,1181.374,1115.69,738.418,636.66294556076,1754.632,1203.44404547,790.49,0.0,139.4,79.0,88.4,0.0,25.1,295.9,0.0,0.0,253.32,352.99,160.91154,0.0,714.37,0.0,388.94,0.0,335.5,89.1,0.0,409.97,445.83,667.2,139.596,824.346,449.77,0.0,441.452,309.348,547.486,0.0,544.672,728.218,5728.858,40.36024030379774,-2.4027792503668803,443.0212718740881,-1.3665653106316142,-0.9738286529502291
1968-12-31,33.333333333333336,12.222222225,46.66666666666666,,42.22,38.88888888888889,43.89,40.0,40.0,37.77777777777778,42.22222222222222,0.0,41.66666666666667,37.77777777777778,43.9,37.77777777777778,42.77777777777778,30.55555555555556,43.88888888888889,36.67,18.0,45.0,46.7,36.1,14.0,46.7,51.1,23.0,,43.9,45.56,49.44444444444444,42.77777777777778,40.55555555555556,,46.7,,48.3,42.8,25.6,41.66666667,46.66666666666667,46.11,45.56,45.6,45.0,46.11111111111112,44.4,,48.88888888888889,47.22222222222222,47.22222222222222,,46.11111111111112,44.44444444444444,41.52861111111111,-13.333333333333334,0.005312689739071,-2.7777777777777777,,-5.0,-5.555555555555555,-7.78,-10.0,-9.44,-13.333333333333334,-6.666666666666666,6.706423248882264,-0.5555555555555556,-3.888888888888889,-1.1,-2.7777777777777777,0.5555555555555556,-6.666666666666667,0.0,-8.89,8.0,-0.9540983606557378,-5.6,-16.7,-1.0,-3.9,0.0,10.0,,-0.6,5.0,1.6666666666666663,7.777777777777778,5.555555555555555,,0.6,,-1.1,7.2,7.8,-1.6666666666666667,0.56,0.56,1.1,-1.1111111111111112,0.5555555555555556,1.7,,0.5555555555555556,-1.1111111111111112,0.0,,-2.2222222222222223,-1.0943606923506417,0.835370370398148,,628.65,0.0,141.986,0.0,730.1,-292.052,79.24799999999999,151.0,235.38,96.774,204.89926,0.0,1177.4774794732,906.81,1191.55,1191.315,1472.66039164688,1560.195,784.767330705,765.74,0.0,0.0,64.1,0.0,0.0,36.3,45.7,0.0,0.0,20.400000000000002,15.68,19.362419999999997,57.35828,30.34,0.0,5.91,0.0,13.3,73.0,0.0,194.29,188.76,636.3,56.193999999999996,559.384,435.83000000000004,0.0,305.308,125.30199999999999,325.43,0.0,301.35,969.782,4097.93,39.90010555567778,-1.3896194437548344,363.0335400337977,-1.8267000587515696,0.03933115366181683
1969-12-31,35.0,12.77625986864754,46.11111111111111,,42.78,37.77777777777778,43.89,40.56,41.11,40.0,41.11111111111111,0.0,41.66666666666667,37.77777777777778,43.3,36.66666666666667,43.333333333333336,30.0,42.77777777777778,36.11,18.0,45.0,46.1,37.2,14.0,47.8,51.1,23.0,,45.0,46.11,50.0,27.696513002364068,40.0,,48.3,,48.3,43.3,25.6,45.55555556,23.879781420765028,46.11,45.0,46.7,47.77777777777778,21.09896782027929,45.0,,47.22222222222222,46.11111111111112,45.55555555555556,,47.22222222222222,46.6666666666667,44.95262626272727,-16.11111111111111,1.949757134239071,-3.888888888888889,,-5.56,-6.666666666666667,-7.78,-11.67,-12.22,-18.333333333333336,-6.666666666666666,3.0781818181818164,0.0,2.2570532915360504,-1.1,4.444444444444445,0.5555555555555556,-4.444444444444445,0.5555555555555556,-7.22,8.0,-5.0,-9.4,-14.4,-1.0,-5.0,0.0,10.0,,-28.3,6.67,1.6666666666666663,17.254728132387704,6.111111111111112,,-1.1,,0.0,12.2,7.8,0.0,0.0,0.56,0.6,0.5555555555555556,6.1141469338190655,1.1,,4.445962355798422,-1.1111111111111112,0.5555555555555556,,-2.7777777777777777,-5.0,0.1147777778111111,,447.675,0.0,74.295,0.0,519.89,1018.54,107.442,675.8,107.53,188.468,131.76012,0.0,1089.6277253198,426.466,995.97,1857.796,889.49892677364,1389.634,855.930476849,609.415,0.0,67.3,17.5,48.3,0.0,11.3,93.9,0.0,0.0,8.0,4.77,5.29414,0.0,38.9,0.0,1.51,0.0,164.79999999999998,11.2,0.0,181.04999999999998,310.44,701.32,14.578,1.8249999999999822,458.58,0.0,8.38,278.83799999999997,0.0,0.0,540.862,0.0,2496.278,38.962149634251226,-1.5951213900363739,312.04932201745254,-2.7646559801781265,-0.16617079261972267
1970-12-31,34.44444444444444,43.88888889,45.0,,43.33,38.88888888888889,42.78,38.33,40.56,37.77777777777778,40.55555555555556,0.0,42.77777777777778,40.55555555555556,43.9,37.77777777777778,44.44444444444444,30.55555555555556,45.55555555555556,36.11,18.0,44.4,46.1,33.3,14.0,48.3,51.1,23.0,,47.2,27.767650793650795,49.44444444444444,39.44444444444444,42.22222222222222,,47.8,,48.9,40.0,25.6,46.66666667,47.22222222222222,45.56,47.78,46.7,47.77777777777778,47.22222222222222,46.1,,48.333333333333336,47.05555555555556,45.0,,47.22222222222222,37.22222222222222,45.60787878797981,-13.88888888888889,-1.666666667,-2.2222222222222223,,-2.78,-3.888888888888889,-7.22,-8.33,-13.89,-9.444444444444445,-3.888888888888889,-0.5500596125186306,-1.1111111111111112,2.2222222222222223,-1.7,-1.1111111111111112,0.5555555555555556,-1.1111111111111112,0.0,-6.11,8.0,-3.3,-6.7,-13.9,-1.0,-4.4,1.1,10.0,,1.7,5.56,5.0,7.777777777777778,6.111111111111112,,1.7,,-0.6,-3.9,7.8,1.6666666666666667,0.56,1.11,1.1,0.5555555555555556,2.7777777777777777,1.7,,0.5555555555555556,0.1111111111111111,1.6666666666666667,,-1.6666666666666667,0.5555555555555556,1.6002564102820511,,147.862,199.771,189.484,0.0,451.75,920.3,175.387,122.35,137.64,110.0,321.36842,23.6,1030.21237439,702.53,606.74,1159.57,1097.6658825920001,1169.81,568.5841616,489.92,0.0,172.79999999999998,91.9,128.7,0.0,93.1,109.8,0.0,0.0,246.82,264.16,99.37242,268.68628,504.15999999999997,0.0,169.52,0.0,86.3,151.9,0.0,220.79,189.38,775.74,137.982,425.06,302.795,0.0,52.4,169.264,360.5,0.0,253.812,880.64,3771.858,40.385621702832616,-0.8753928091227419,362.0737877515184,-1.3411839115967368,0.5535577882939093
